Nicolas MOËS,"Ecole Centrale de Nantes, France",ec-nantes.fr,25294,Fracture mechanics | Damage mechanics | Contact | Solid mechanics | Computational mechanics,https://scholar.google.com/citations?hl=en&user=rC0o2lEAAAAJ
A BERNARD,Ecole Centrale de Nantes - LS2N UMR CNRS 6004,ec-nantes.fr,10155,Industrial Engineering | Systems Engineering | KM | PLM | Additive Manufacturing,https://scholar.google.com/citations?hl=en&user=I2IHy-QAAAAJ
wisama khalil,Ecole Centrale de Nantes- IRCCyN,Not Mentioned,9275,Robotics | Mobile robots | modelling | identification | control,https://scholar.google.com/citations?hl=en&user=cgizGIoAAAAJ
Franck Plestan,Ecole Centrale de Nantes,ec-nantes.fr,8486,automatique | robotique,https://scholar.google.com/citations?hl=en&user=fJNH7aQAAAAJ
Pierre Yves Hicher,Professor Ecole Centrale de Nantes,ec-nantes.fr,8251,Civil Engineering | Soil mechanics,https://scholar.google.com/citations?hl=en&user=y_aNuOIAAAAJ
Ahmed Loukili,Ecole centrale de Nantes,ec-nantes.fr,7361,Cementitious materials | durability | Civil Engineering | Concrete,https://scholar.google.com/citations?hl=en&user=-eBtRPwAAAAJ
Damien Chablat,"DR CNRS, LS2N,UMR 6004 (CNRS, Université de Nantes, Ecole Centrale de Nantes, IMT …",ec-nantes.fr,7151,Robotics | Parallel robots | Human fatigue analysis | Bioinspiration | Ergonomics,https://scholar.google.com/citations?hl=en&user=Iu42maoAAAAJ
Aurélien Babarit,Ecole Centrale Nantes,ec-nantes.fr,6582,Marine renewable energy | offshore renewable energy | offshore wind energy | wave energy | ocean engineering,https://scholar.google.com/citations?hl=en&user=pRVuTkkAAAAJ
Julien Réthoré,"CNRS, GEM, Ecole Centrale de Nantes",ec-nantes.fr,5705,solid mechanics | computational mechanics | full field measurement | fracture,https://scholar.google.com/citations?hl=en&user=L9w_1WoAAAAJ
Alain H. Clement,"… en Hydrodynamique et Energies Marines Renouvelables, Ecole Centrale de Nantes",ec-nantes.fr,5196,free surface hydrodynamics | Ocean engineering | marine renewable energy | énergie des vagues | numerical modelling a,https://scholar.google.com/citations?hl=en&user=nIQkp60AAAAJ
Pierre Ferrant,"Professor, LHEEA Lab., Ecole Centrale de Nantes",ec-nantes.fr,4465,Ocean Engineering | Water Waves | Wave-structure interactions | Free Surface Hydrodynamics | Marine Renewable Energy,https://scholar.google.com/citations?hl=en&user=07Hvy1UAAAAJ
Erwan Verron,"Professor of Mechanical Engineering, Ecole Centrale de Nantes",ec-nantes.fr,4093,Mechanics of elastomers | Fatigue and fracture of elastomers,https://scholar.google.com/citations?hl=en&user=F092wDIAAAAJ
Sophie Limou,Ecole Centrale de Nantes / Institute for Transplantation in Urology-Nephrology,ec-nantes.fr,3811,Genetics | Epidemiology | Bioinformatics | HIV | Nephrology,https://scholar.google.com/citations?hl=en&user=1omK6PkAAAAJ
Alain GLUMINEAU,IRCCyN Ecole Centrale Nantes,irccyn.ec-nantes.fr,3335,Non linear control ans observation,https://scholar.google.com/citations?hl=en&user=8A4T0zsAAAAJ
Adrien Leygue,"Researcher, CNRS, Ecole Centrale Nantes",ec-nantes.fr,3276,Model Reduction | Numerical methods | Polymeric systems | Rheology | Constitutive Modeling,https://scholar.google.com/citations?hl=en&user=EcF47UUAAAAJ
Christophe BINETRUY,"Prof., PhD, Ecole Centrale de Nantes - Institute of Civil Engineering and Mechanics (GeM) …",ec-nantes.fr,3234,Polymer composite process modeling | Mechanics of fibrous media and uncured …,https://scholar.google.com/citations?hl=en&user=FtR4asAAAAAJ
Mickaël HILAIRET,Ecole Centrale de Nantes,ec-nantes.fr,3130,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dx_IssIAAAAJ
Didier Lime,École Centrale de Nantes,ec-nantes.fr,3032,Computer Science | Formal Methods | Real-time Systems | Petri Nets,https://scholar.google.com/citations?hl=en&user=-RAajCgAAAAJ
Mathieu Ribatet,"Full professor of Statistics, Ecole Centrale de Nantes",ec-nantes.fr,2960,Extreme Value Theory | Spatial Statistics | Environmental Statistics | Computational Statistics | Statistical Learning,https://scholar.google.com/citations?hl=en&user=kdNCzEAAAAAJ
Emmanuel Roziere,"Professor, Ecole Centrale de Nantes",ec-nantes.fr,2918,Civil engineering | concrete technology | durability | sustainable development | social responsibility,https://scholar.google.com/citations?hl=en&user=3fEkOUAAAAAJ
Bertrand Alessandrini,Ecole Centrale de Nantes,ec-nantes.fr,2664,Ocean Engineering | Marine Renewable Energy,https://scholar.google.com/citations?hl=en&user=2ZDcYEUAAAAJ
Saïd Moussaoui,"Professor, Ecole Centrale de Nantes, LS2N, France",ec-nantes.fr,2468,Statistical signal and image processing | inverse problems | source separation | Bayesian inference | hyperspectral imaging,https://scholar.google.com/citations?hl=en&user=Vkr8yxkAAAAJ
Emmanuel Guilmineau,"LHEEA, CNRS, Ecole Centrale de Nantes",ec-nantes.fr,2415,bluff body flows | turbulence | automotive | hydrodynamics,https://scholar.google.com/citations?hl=en&user=43UM9icAAAAJ
Frédéric Grondin,Ecole Centrale de Nantes,ec-nantes.fr,2339,Multi-scales modelling | damage | concrete | creep | shrinkage,https://scholar.google.com/citations?hl=en&user=4zHWVDsAAAAJ
Jean Jacques Loiseau,"Chercheur CNRS, Ecole Centrale de Nantes",ls2n.fr,2298,Control theory | Time delay systems | Discrete event systems,https://scholar.google.com/citations?hl=en&user=2fH5tkwAAAAJ
Fouad Bennis,Professor Ecole Centrale de Nantes,ec-nantes.fr,2286,Optimisation | conception | Design | Robotics | Layout,https://scholar.google.com/citations?hl=en&user=XXtjc7EAAAAJ
Chevaugeon Nicolas,Ecole Centrale de Nantes,ec-nantes.fr,2184,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zqT5i9MAAAAJ
Bertrand MICHEL,Ecole Centrale de Nantes,ec-nantes.fr,2175,topological data analysis | statistical learning | clustering | model selection | random forests,https://scholar.google.com/citations?hl=en&user=QiI_EskAAAAJ
Panagiotis Kotronis,"Professor, Ecole Centrale de Nantes",ec-nantes.fr,2105,Civil Engineering | Earthquake Engineering,https://scholar.google.com/citations?hl=en&user=9G-5ImMAAAAJ
Bertrand HUNEAU,"… in Engineering Materials (MCF HDR), GeM, UMR CNRS 6183, Ecole Centrale Nantes",ec-nantes.fr,1962,Fatigue of Materials | Elastomers | Metallurgy,https://scholar.google.com/citations?hl=en&user=Clx6oagAAAAJ
Jean-Marie Normand,"Associate Professor, Ecole Centrale de Nantes, France",ec-nantes.fr,1960,Virtual Reality | Augmented Reality,https://scholar.google.com/citations?hl=en&user=_2-Zd-MAAAAJ
Aurelien Serandour,"Associate Professor, Ecole Centrale de Nantes, Nantes Université",ec-nantes.fr,1921,chromatin | transcription | epigenetics | cancer,https://scholar.google.com/citations?hl=en&user=WPCdMgUAAAAJ
Ducrozet Guillaume,Ecole Centrale de Nantes - LHEEA (UMR CNRS 6598),ec-nantes.fr,1836,Water Waves | Nonlinear Waves | Free Surface Hydrodynamics | Wave-Structure Interactions | Ocean Engineering,https://scholar.google.com/citations?hl=en&user=L8pgRqcAAAAJ
Arnaud Poitou,"Professor, Ecole Centrale de Nantes France",ec-nantes.fr,1808,Materials Processing,https://scholar.google.com/citations?hl=en&user=idwlsN4AAAAJ
Félicien Bonnefoy,LHEEA (Ecole Centrale de Nantes -- UMR 6598 CNRS),ec-nantes.fr,1782,Ocean Engineering | nonlinear wave | water tank | wave-structure interaction | seakeeping,https://scholar.google.com/citations?hl=en&user=n_Wy_p0AAAAJ
Mazen Saad,Ecole Centrale de Nantes,ec-nantes.fr,1778,Compressible two-phase flow | porous media | finite volume | Keller-Segel,https://scholar.google.com/citations?hl=en&user=TJjcOhYAAAAJ
Alain Maiboom,"Professor, Ecole Centrale Nantes, LHEEA UMR CNRS 6598, TSM",ec-nantes.fr,1661,internal combustion engines | combustion | pollutant emissions | thermal transfers,https://scholar.google.com/citations?hl=en&user=jQo8W-oAAAAJ
Jean-Francois Petiot,"Ecole Centrale de Nantes, LS2N (UMR CNRS 6004 )",ec-nantes.fr,1589,Design engineering | human factors | psychoacoustics | musical acoustics,https://scholar.google.com/citations?hl=en&user=mclyx7MAAAAJ
Benjamin Bouscasse,Ecole Centrale de Nantes,ec-nantes.fr,1567,Ocean Engineering | Computational Fluid Dynamics | Experimental Fluid Dynamics | Wave-Structure Interactions | Seakeeping,https://scholar.google.com/citations?hl=en&user=FnDZ_iUAAAAJ
Ioannis STEFANOU,Ecole Centrale de Nantes,ec-nantes.fr,1475,Mechanics | Geomechanics | Engineering,https://scholar.google.com/citations?hl=en&user=qhQXw5kAAAAJ
Hugues Digonnet,ICI - École Centrale de Nantes,ec-nantes.fr,1441,Computer Science,https://scholar.google.com/citations?hl=en&user=5wHCBYsAAAAJ
Jose V. Aguado,"… professor at Institut de Recherche en Génie Civil et Mécanique, Ecole Centrale de Nantes",ec-nantes.fr,1335,computational mechanics | real-time simulation | HPC | digital twin,https://scholar.google.com/citations?hl=en&user=DYwVeLoAAAAJ
Belkadi Farouk,"Maitre de conférences, Ecole centrale de Nantes - LS2N",ec-nantes.fr,1312,ingénierie des connaissances | systèmes collaboratifs entreprise du futur,https://scholar.google.com/citations?hl=en&user=NTzBz_wAAAAJ
Antoine Ducoin,Associate professor - Ecole Centrale de Nantes,ec-nantes.fr,1161,Ocean Engineering,https://scholar.google.com/citations?hl=en&user=ThnKTyEAAAAJ
Catherine da Cunha,Professor at Ecole Centrale de Nantes,ec-nantes.fr,1139,Industrial Engineering | Mass Customization,https://scholar.google.com/citations?hl=en&user=bE1aZagAAAAJ
Luisa Silva,Ecole Centrale de Nantes,ec-nantes.fr,1132,Computer Science | Engineering | Polymers | Composites,https://scholar.google.com/citations?hl=en&user=si1QmCAAAAAJ
Giulio Sciarra,"Professor, GeM Ecole Centrale de Nantes",ec-nantes.fr,1081,Continuum Mechanics | Poromechanics | Porous Media | Geomechanics | Fracture Mechanics,https://scholar.google.com/citations?hl=en&user=J4Q0dZgAAAAJ
Mohammed Taleb,Phd Ecole Centrale de Nantes/ Assistant Professor Moulay Ismaïl University Meknes …,ensam.umi.ac.ma,1071,Robust control | sliding mode control | adaptive control,https://scholar.google.com/citations?hl=en&user=kG5niJsAAAAJ
Matthieu Rauch,"Associate Professor, Ecole Centrale de Nantes",ec-nantes.fr,1048,Mechanical Engineering | CNC tool paths generation | Additive Manufacturing | Computer Aided Manufacturing,https://scholar.google.com/citations?hl=en&user=EO4H-q4AAAAJ
Florent Laroche,"… de conférences, Ing Dr HDR, laboratoire LS2N lab, École Centrale de Nantes, VP Nantes",ec-nantes.fr,988,Génie industriel | mécanique | CAO | réalité virtuelle numérisation 3D | patrimoine industriel histoire des techniques,https://scholar.google.com/citations?hl=en&user=SHCScR4AAAAJ
Chriette Abdelhamid,"Assistant Professor, Ecole Centrale de Nantes",ls2n.fr,976,Robotics | Unmanned Aerial Vehicles | Sensor Based Control | Visual Servoing,https://scholar.google.com/citations?hl=en&user=_-RiPnoAAAAJ
Sebastien Bourguignon,LS2N - Ecole Centrale de Nantes,ec-nantes.fr,959,Signal and image processing | inverse problems | sparsity | optimisation | non destructive testing,https://scholar.google.com/citations?hl=en&user=63jp_FwAAAAJ
Guillaume Racineux,"… de Recherche en Génie Civil et Mécanique - UMR6183, Ecole Centrale Nantes, 1 rue de la …",ec-nantes.fr,895,Not Mentioned,https://scholar.google.com/citations?hl=en&user=snr-K9oAAAAJ
Grégory S. Payne,Ecole Centrale de Nantes,ec-nantes.fr,866,Marine Renewable Energy | Experimental testing | Instrumentation,https://scholar.google.com/citations?hl=en&user=oElyn7oAAAAJ
Guy Lebret,Ecole Centrale de Nantes,Not Mentioned,830,Automatic control,https://scholar.google.com/citations?hl=en&user=uMhIzL8AAAAJ
Patrick Rozycki,"Professeur des Universités, Ecole Centrale de Nantes",ec-nantes.fr,781,crash | impact | dynamique rapide | composite | XFEM,https://scholar.google.com/citations?hl=en&user=BrNu-Y0AAAAJ
Syed Yasir Alam,Ecole Centrale de Nantes,ec-nantes.fr,740,Cement | Durability | Multiscale Modelling | Nondestructive testing,https://scholar.google.com/citations?hl=en&user=2SluTyQAAAAJ
Morgan Magnin,"Professor of Computer Science, LS2N, École Centrale de Nantes, National Institute of …",ec-nantes.fr,726,Bio-informatics | Formal Methods | Logic Programming | Machine Learning | E-learning,https://scholar.google.com/citations?hl=en&user=I1dExUUAAAAJ
Emilie Poirson,"Professeur des Universités, Ecole Centrale de Nantes",ec-nantes.fr,595,Conception de produits | perception | design universel,https://scholar.google.com/citations?hl=en&user=fbnYGWYAAAAJ
rian seghir,… de Recherche en Génie Civil et Mécanique. UMR 6183 – CNRS – Ecole Centrale de Nantes,ec-nantes.fr,581,crystal plasticity | dynamic | InfraRed Thermography | Digital Image Correlation | Grid Method,https://scholar.google.com/citations?hl=en&user=xh9n0PsAAAAJ
Vito Rubino,Ecole Centrale de Nantes,ec-nantes.fr,581,fracture mechanics | friction | earthquake source physics | full-field measurements | digital image correlation,https://scholar.google.com/citations?hl=en&user=AoNoKpsAAAAJ
Anne-Laure Fauchille,GeM - Ecole Centrale de Nantes,ec-nantes.fr,577,geology | geomechanics | clay | microstructure | fracture and deformation,https://scholar.google.com/citations?hl=en&user=VF3SsScAAAAJ
domenico borzacchiello,Ecole Centrale de Nantes,ec-nantes.fr,514,Computer Methods for Engineering,https://scholar.google.com/citations?hl=en&user=krBV23cAAAAJ
Nathan BENKEMOUN,Université de Nantes - GeM (Unité mixte Ecole Centrale / UN / CNRS 6183),univ-nantes.fr,474,Outils numériques pour la modélisation des …,https://scholar.google.com/citations?hl=en&user=eN-eTQwAAAAJ
Olivier Kermorgant,"Ecole Centrale de Nantes, LS2N",ec-nantes.fr,474,Robotics | visual servoing | disturbance rejection,https://scholar.google.com/citations?hl=en&user=u8KFTTwAAAAJ
Raphael Chenouard,"Ecole Centrale de Nantes, Université de Nantes",ec-nantes.fr,377,intelligence artificielle | conception | programmation par contraintes | analyse par intervalles,https://scholar.google.com/citations?hl=en&user=2_sNXuEAAAAJ
Carito Guziołowski,"Associate professor of Computer Science, IRCCyN, École Centrale de Nantes",irccyn.ec-nantes.fr,365,Systems Biology | Formal methods | Discrete models of large-scale biological …,https://scholar.google.com/citations?hl=en&user=09AUK-gAAAAJ
Boris Conan,Lecturer - Researcher at Ecole Centrale de Nantes,ec-nantes.fr,324,Atmospheric flows | wind tunnel testing | LES | OpenFoam,https://scholar.google.com/citations?hl=en&user=I0b6QZ8AAAAJ
Zhe Li (李喆),"Maître de Conférences (MCF), LHEEA, École Centrale de Nantes, France",ec-nantes.fr,277,Fluid-Structure Interaction | Lattice Boltzmann Method | Numerical Simulation,https://scholar.google.com/citations?hl=en&user=hDiTpWwAAAAJ
