Xinhua Bai,South Dakota School of Mines and Technology,sdsmt.edu,46134,astroparticle physics | cosmic rays | neutrino astronomy | nuclear physics,https://scholar.google.com/citations?hl=en&user=wmHzA7IAAAAJ
Hao Fong,South Dakota School of Mines and Technology,sdsmt.edu,20124,Electrospinning and Nanofibers,https://scholar.google.com/citations?hl=en&user=Up18E_sAAAAJ
Richard Schnee,South Dakota School of Mines and Technology,sdsmt.edu,11931,Particle Astrophysics | Dark Matter | Low-Background Physics,https://scholar.google.com/citations?hl=en&user=MC9gGb4AAAAJ
Zhengtao Zhu,South Dakota School of Mines,sdsmt.edu,10570,Materials | Nanotechnology | Nanoscience,https://scholar.google.com/citations?hl=en&user=x1LAYMYAAAAJ
Richard R. Sinden,South Dakota School of mines and technology,sdsmt.edu,9794,DNA Structure,https://scholar.google.com/citations?hl=en&user=-9zcjdgAAAAJ
Rajesh Sani,South Dakota School of Mines and Technology,sdsmt.edu,6429,Extremophilic Bioprocessing,https://scholar.google.com/citations?hl=en&user=03kNfycAAAAJ
Haiping Hong,South Dakota School of Mines and Technology,sdsmt.edu,4937,Carbon nano material | battery | composite | grease | fluids,https://scholar.google.com/citations?hl=en&user=FL1paSgAAAAJ
Roger Nielsen,"Research Scientist, South Dakota School of Mines and Professor Emeritus of Geology …",sdsmt.edu,4421,geochemistry | petrology | trace elements | experimental,https://scholar.google.com/citations?hl=en&user=Cpq2jBYAAAAJ
Tula R. Paudel,South Dakota School of Mines and Technology,sdsmt.edu,4092,Computational Condensed Matter Physics | Materials Science | Nanoscience | Energy Science | Spintronics,https://scholar.google.com/citations?hl=en&user=-j73CfYAAAAJ
Alexey Lipatov,"Assistant Professor, South Dakota School of Mines and Technology, University of Nebraska …",sdsmt.edu,3747,Nanoelectronics | 2D materials | Sensors | Ferroelectrics | MXenes,https://scholar.google.com/citations?hl=en&user=KJwvF-sAAAAJ
Gleb Sinev,"Postdoctoral Researcher, South Dakota School of Mines & Technology",sdsmt.edu,3517,neutrino physics | dark matter,https://scholar.google.com/citations?hl=en&user=W5tbSYYAAAAJ
Roman Shchepin,"Assistant Professor, South Dakota School of Mines & Technology (SDSM&T)",sdsmt.edu,3412,Hyperpolarization | Organic Chemistry | Isotopic Labeling | Molecular Imaging | Cancer Imaging,https://scholar.google.com/citations?hl=en&user=U4AZlv8AAAAJ
Parthiba Karthikeyan Obulisamy,"Research Scientist, South Dakota School of Mines and Technology",sdsmt.edu,3302,Landfills | anaerobic digestion | methane oxidation | bioleaching | composting and bio-reactor engineering,https://scholar.google.com/citations?hl=en&user=WY9VjqkAAAAJ
Yong Zhao,South Dakota School of Mines and Technology,sdsmt.edu,2914,Electrospun Nanomaterials and their …,https://scholar.google.com/citations?hl=en&user=hvhUkNoAAAAJ
Brian M. Barth,South Dakota School of Mines and Technology,sdsmt.edu,2797,sphingolipids | cancer | drug discovery,https://scholar.google.com/citations?hl=en&user=8iRXGKoAAAAJ
Alevtina Smirnova,Associate Professor South Dakota School of Mines and Techology,sdsmt.edu,2672,energy,https://scholar.google.com/citations?hl=en&user=D74z96wAAAAJ
Curtis Price,"Lecturer, South Dakota School of Mines & Technology",sdsmt.edu,2621,GIS | elevation | hydrography | GIS science,https://scholar.google.com/citations?hl=en&user=mHUTiZQAAAAJ
Jon Kellar,"Professor of Materials and Metallurgical Engineering, South Dakota School of Mines and …",sdsmt.edu,2580,Illicit Economy | Mineral Processing | Security Printing | Materials Science | Metallurgical Engineering,https://scholar.google.com/citations?hl=en&user=_Hv7X_YAAAAJ
Rajesh V. Shende,"Professor, Chemical and Biological Engineering, South Dakota School of Mines & …",sdsmt.edu,2543,Renewable/sustainable energy | catalysis for energy | H2 from water-splitting | biofuels | thin-films/sensors.,https://scholar.google.com/citations?hl=en&user=re0frv0AAAAJ
Timothy Masterlark,South Dakota School of Mines,sdsmt.edu,2529,Finite Element Models | Inverse Methods | Poroelastic | Earthquake deformation | Volcano deformation,https://scholar.google.com/citations?hl=en&user=7MOnAa0AAAAJ
"Gadhamshetty Venkataramana, PhD, PE","Professor, South Dakota School of Mines and Technology",sdsmt.edu,2390,2D Materials | Biofilms | Bio-electrochemistry | Microbial Corrosion | Wastewater Treatment,https://scholar.google.com/citations?hl=en&user=OGPod8MAAAAJ
Steve Smith,South Dakota School of Mines and Technology,sdsmt.edu,2323,nanophotonics | nonlinear optics | imaging,https://scholar.google.com/citations?hl=en&user=eFX5DXIAAAAJ
David R. Salem,"Professor/Center Director, South Dakota School of Mines and Technology",sdsmt.edu,2262,Polymer Physics | Polymer Processing | Composites and Nanocomposites,https://scholar.google.com/citations?hl=en&user=weBPGEYAAAAJ
Lori  J. Groven,"Associate Professor, South Dakota School of Mines and Technology",sdsmt.edu,2239,multiphase combustion - tailored energetic …,https://scholar.google.com/citations?hl=en&user=wGX3_iEAAAAJ
Prasoon K. Diwakar,South Dakota School of Mines and Technology,sdsmt.edu,2064,LIBS | Plasma | Spectroscopy | Aerosol | STEM,https://scholar.google.com/citations?hl=en&user=uIYFyLkAAAAJ
Weibing Xing,"Professor of Mechanical Engineering, South Dakota School of Mines & Technology",Not Mentioned,2064,Energy Storage,https://scholar.google.com/citations?hl=en&user=cSYizO0AAAAJ
Jingbo Wang,South Dakota School of Mines and Technology,sdsmt.edu,1998,High energy physics | Neutrino physics experiment | Nuclear physics | Radiation detection,https://scholar.google.com/citations?hl=en&user=Au86MpAAAAAJ
Liangping Li,"Associate Professor of Hydrogeology, South Dakota School of Mines",sdsmt.edu,1621,Upscaling | Inverse problem | Geostatistics | Machine Learning | Hydrogeology,https://scholar.google.com/citations?hl=en&user=91Yn_moAAAAJ
Grant Crawford,South Dakota School of Mines and Technology,sdsmt.edu,1600,Not Mentioned,https://scholar.google.com/citations?hl=en&user=89rmwLYAAAAJ
Kyle W. Knight,South Dakota School of Mines and Technology,sdsmt.edu,1564,Not Mentioned,https://scholar.google.com/citations?hl=en&user=D0ndmwIAAAAJ
James Stone,South Dakota School of Mines and Technology,sdsmt.edu,1539,Environmental Engineering | Life Cycle Assessment Modeling | Contaminant Fate and Transport,https://scholar.google.com/citations?hl=en&user=JfD14B0AAAAJ
Vladimir  L Sobolev,"Professor of Physics, South Dakota School of Mines and Technology",sdsmt.edu,1521,Condensed Matter Physics,https://scholar.google.com/citations?hl=en&user=VgygIsAAAAAJ
Rudrajit Mitra,South Dakota School of Mines & Technology,sdsmt.edu,1392,Mine Geomechanics | Advanced Mining Technologies | Mining Systems | Virtual Reality/Augmented Reality | Innovation in Learning & Tea,https://scholar.google.com/citations?hl=en&user=tOJMUmgAAAAJ
Pierre Larochelle,"Dept. Head of Mechanical Enginering, South Dakota School of Mines & Technology",sdsmt.edu,1365,Kinematics | Mechanisms | Robotics,https://scholar.google.com/citations?hl=en&user=zRnq2QQAAAAJ
Karen Braman,"Professor of Mathematics, South Dakota School of Mines",sdsmt.edu,1334,numerical linear algebra,https://scholar.google.com/citations?hl=en&user=hFOvoVMAAAAJ
Kevin M. Ward,"Assistant Professor of Geology and Geological Engineering, South Dakota School of Mines …",sdsmt.edu,1322,Tectonics | Seismology | Geophysics | Observational Seismology | Orogenic Systems,https://scholar.google.com/citations?hl=en&user=4iGLIzoAAAAJ
Laurie C. Anderson,"Professor of Geology and Geological Engineering, South Dakota School of Mines and …",sdsmt.edu,1245,paleobiology | paleoecology | taphonomy,https://scholar.google.com/citations?hl=en&user=EEPEjiAAAAAJ
Shan Zhou,South Dakota School of Mines and Technology,sdsmt.edu,1232,Nanoscience | Biomedical Engineering | Surface Chemistry | Self-Assembly | Atomic Force Microscopy,https://scholar.google.com/citations?hl=en&user=CuG28Q8AAAAJ
Roger W. Johnson,South Dakota School of Mines & Technology,sdsmt.edu,1225,Statistics | Probability | Pedagogy,https://scholar.google.com/citations?hl=en&user=TJHD5OAAAAAJ
Mengyu Qiao,South Dakota School of Mines and Technology,sdsmt.edu,1200,Information Security | Multimedia Processing | Digital Forensics | Artificial Intelligence | Mobile Computing,https://scholar.google.com/citations?hl=en&user=4f6WKvwAAAAJ
ilke celik,"Assistant Professor, South Dakota School of Mines & Technology",sdsmt.edu,1158,Life cycle assessment | Solar energy | Food-energy-water nexus | Anaerobic treatment | Air quality,https://scholar.google.com/citations?hl=en&user=gow7TpMAAAAJ
Micah Lande,"Assistant Professor, South Dakota School of Mines & Technology",sdsmt.edu,1140,user-centered design | design thinking | maker educational pathways | engineering education | prototyping habits,https://scholar.google.com/citations?hl=en&user=MPA1PY0AAAAJ
Phil Ahrenkiel,South Dakota School of Mines and Technology,Not Mentioned,1118,Microstructure of Phototovoltaic Materials,https://scholar.google.com/citations?hl=en&user=Ng0xVZIAAAAJ
Randy Hoover,"Associate Professor of Computer Science & Engineering, South Dakota School of Mines and …",sdsmt.edu,1077,Machine learning | control theory | dynamic systems | robotics | autonomous systems,https://scholar.google.com/citations?hl=en&user=KX9_5_IAAAAJ
Larry D. Pyeatt,South Dakota School of Mines and Technology (SDSMT),sdsmt.edu,1063,Robotics | Reinforcement Learning | Partially Observable Markov Decision … | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=TnO6kBgAAAAJ
Nickolaus M. Bruno,South Dakota School of Mines and Technology,sdsmt.edu,907,Magnetic Materials | Scientific Instruments | Multi-functional Systems,https://scholar.google.com/citations?hl=en&user=drUV_Y4AAAAJ
Madan Timalsina,"PhD candidate, South Dakota school of Mines and technology",mines.sdsmt.edu,885,LZ Dark Matter | High energy Physics | Radiation Detection & Measurement | Nuclear and Particle Physics | Simulation & Data Analysis,https://scholar.google.com/citations?hl=en&user=znRuvrsAAAAJ
"Congzhou Wang, Nanoscience and Nanoengineering",South Dakota School of Mines and Technology,sdsmt.edu,877,Nanotechnology | Biophysics | Atomic Force Microscopy | Plasmonic Biosensor | Metal-organic Framework,https://scholar.google.com/citations?hl=en&user=5hZeCp0AAAAJ
William J Capehart,South Dakota School of Mines and Technology,sdsmt.edu,853,Meteorology | Climate Change | Hydrology,https://scholar.google.com/citations?hl=en&user=9leGGzMAAAAJ
Tao Ye,"… , Department of Civil and Environmental Engineering, South Dakota School of Mines",sdsmt.edu,819,Catalysis | Environmental Chemistry | Disinfection Byproducts,https://scholar.google.com/citations?hl=en&user=X7Os3KIAAAAJ
Khosro Shahbazi,"Associate Professor of Mechanical Engineering, South Dakota School of Mines and …",sdsmt.edu,817,… numerical methods for compressible two-fluid … | photoacoustics and laser heating of …,https://scholar.google.com/citations?hl=en&user=8IwZS9YAAAAJ
Mengistu Geza,South Dakota School of Mines and Technology,sdsmt.edu,784,Water resources | Environmental engineering,https://scholar.google.com/citations?hl=en&user=ZS1EgUIAAAAJ
Shaobo Huang,South Dakota School of Mines & Technology,sdsmt.edu,780,STEM Education,https://scholar.google.com/citations?hl=en&user=8et12u8AAAAJ
Albert Romkes,South Dakota School of Mines and Technology,sdsmt.edu,740,computational mechanics | applied mathematics | computational mathematics,https://scholar.google.com/citations?hl=en&user=8H28DBkAAAAJ
Chunhui Chen,South Dakota School of Mines and Technology: CAPE,fiu.edu,724,LIB | supercapacitor | energy storage | 2D materials | LTO,https://scholar.google.com/citations?hl=en&user=HGSvJ2IAAAAJ
Govinda Chilkoor,Ph.D. South Dakota School of Mines and Technology,adm.com,665,Microbial Induced corrosion | Biotechnology | Nano scale Graphene coating | Electrochemistry | Environmental engineering,https://scholar.google.com/citations?hl=en&user=eGMpitoAAAAJ
Tsvetanka Filipova,South Dakota School of Mines and Technology,sdsmt.edu,644,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ig6kkSMAAAAJ
Timothy M. Brenza,"… , Department of Chemical and Biological Engineering, South Dakota School of Mines",sdsmt.edu,640,Not Mentioned,https://scholar.google.com/citations?hl=en&user=R68nxaQAAAAJ
Kurt Chowanski,"Research Scientist, South Dakota School of Mines and Technology",sdsmt.edu,635,Not Mentioned,https://scholar.google.com/citations?hl=en&user=4TaigUYAAAAJ
Sarah W. Keenan,"Dept. of Geology and Geological Engineering, South Dakota School of Mines & Technology",sdsmt.edu,531,geobiology | geochemistry | biogeochemistry | paleontology | soils,https://scholar.google.com/citations?hl=en&user=yZFORZwAAAAJ
Ram Nageena Singh,South Dakota School of Mines and Technology,sdsmt.edu,503,Microbiology | Genomics | Metagenomics | Bioinformatics | Extreme environments,https://scholar.google.com/citations?hl=en&user=D7veM4sAAAAJ
Lance Roberts,South Dakota School of Mines,sdsmt.edu,456,Reliability-based design,https://scholar.google.com/citations?hl=en&user=7BH9brAAAAAJ
Greg Christensen,South Dakota School of Mines,mines.sdsmt.edu,424,Physical Chemistry / NanoScience …,https://scholar.google.com/citations?hl=en&user=gQKNgiQAAAAJ
Travis W. Walker,"Department of Chemical and Biological Engineering, South Dakota School of Mines and …",sdsmt.edu,423,Transport | Rheology | Complex Fluids | Soft Solids | Diffuse Interfaces,https://scholar.google.com/citations?hl=en&user=rhn52owAAAAJ
Jawahar Raj Kalimuthu,"Research Scientist III, South Dakota School of Mines and Technology",sdsmt.edu,409,Biofilm Engineering | Extracellular electron transfer | Algal Biotechnology | Methanotrophs | Thermophiles,https://scholar.google.com/citations?hl=en&user=tronDlAAAAAJ
Heidi Sieverding,South Dakota School of Mines,sdsmt.edu,404,Not Mentioned,https://scholar.google.com/citations?hl=en&user=v28K6DsAAAAJ
Cassandra M Birrenkott,South Dakota School of Mines and Technology,sdsmt.edu,402,Polymer and Composite Joining and …,https://scholar.google.com/citations?hl=en&user=qHErYEIAAAAJ
Tugba Ozdemir,South Dakota School of Mines and Technology,sdsmt.edu,400,Regenerative Engineering,https://scholar.google.com/citations?hl=en&user=81-hru4AAAAJ
firas slewa,South Dakota School of Mines and Technology,Not Mentioned,393,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5i1Ra-sAAAAJ
"Sayan Roy, Ph.D.","Assistant Professor, EECS, South Dakota Mines; Affiliate: Department of Medicine, Mayo …",sdsmt.edu,391,Conformal Antennas | RF Sensors | Wireless Power Transfer | Electromagnetic Compatibility | Microwave Imaging,https://scholar.google.com/citations?hl=en&user=fZLLj7UAAAAJ
Bret Nils Lingwall,"Associate Professor, South Dakota School of Mines and Technology",sdsmt.edu,391,Geotechnical Engineering | Earthquake Engineering | Microbial bio-cement | fault rupture | EPS Geofoam,https://scholar.google.com/citations?hl=en&user=CLnPbGcAAAAJ
Christer Karlsson,South Dakota School of Mines & Technology,sdsmt.edu,386,Not Mentioned,https://scholar.google.com/citations?hl=en&user=39TNxhMAAAAJ
Christopher R Shearer,"… Professor, Department of Civil & Environmental Engineering, South Dakota School of Mines",sdsmt.edu,374,Civil Engineering | Concrete | Fly Ash,https://scholar.google.com/citations?hl=en&user=ajWqJfUAAAAJ
Karthigeyan CP,South Dakota School of Mines and Technology,sdsmt.edu,373,Methane Remediation | Methanotrophs | Biopolymers,https://scholar.google.com/citations?hl=en&user=JkHMxZcAAAAJ
