Gaia Maria Berruti,"Universita' degli Studi del Sannio (Italy), CERN (Switzerland)",unisannio.it,18709,Not Mentioned,https://scholar.google.com/citations?hl=en&user=iZcgBoEAAAAJ
Giuseppe Graziano,"Dipartimento di Scienze e Tecnologie, Università del Sannio, Benevento",unisannio.it,5221,hydrophobic effect | conformational stability of globular proteins,https://scholar.google.com/citations?hl=en&user=23FSy4EAAAAJ
Alfredo Vaccaro,Università degli studi del Sannio,unisannio.it,4798,power systems,https://scholar.google.com/citations?hl=en&user=9-pnhVoAAAAJ
Marco Consales,Università degli Studi del Sannio,unisannio.it,2889,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ACwVWQwAAAAJ
Francesco Guadagno,"professore di Geologia Applicata, Universita del Sannio.",unisannio.it,2648,geologia applicata | instabilità dei versanti | microzonazione,https://scholar.google.com/citations?hl=en&user=-IuUz80AAAAJ
Carlo Roselli,Università degli Studi del Sannio,unisannio.it,2481,Dipartimento di Ingegneria,https://scholar.google.com/citations?hl=en&user=Pdb9uBQAAAAJ
Gerardo Maria Mauro,"Associate Professor, Università degli Studi del Sannio",unisannio.it,2431,building performance simulation | energy optimization | heating and cooling | thermal systems | heat sinks,https://scholar.google.com/citations?hl=en&user=ClV1KygAAAAJ
Luca De Vito,"Dipartimento di Ingegneria, Università degli Studi del Sannio",unisannio.it,2321,Measurement | Instrumentation | Data acquisition | IoT | ADC,https://scholar.google.com/citations?hl=en&user=spcv2rUAAAAJ
Tullio Ceccherini-Silberstein,"Professore di Analisi Matematica, Universita' del Sannio (Benevento), Italia",unisannio.it,2216,Matematica,https://scholar.google.com/citations?hl=en&user=l_f_owgAAAAJ
Giovanni Angrisani,Università degli Studi del Sannio,unisannio.it,1827,ingegneria energetica,https://scholar.google.com/citations?hl=en&user=3QdWkYsAAAAJ
Daniele Davino,"Università degli Studi del Sannio, Dipartimento di Ingegneria, Benevento, Italy",unisannio.it,1730,Electromagnetism | Smart Materials | Energy Harvesting | Hysteresis Modeling,https://scholar.google.com/citations?hl=en&user=h-jTUJUAAAAJ
Mariano Gallo,"Professore Associato di Trasporti, Università del Sannio",unisannio.it,1636,Transportation Engineering,https://scholar.google.com/citations?hl=en&user=xg4FTi4AAAAJ
Celestino Grifa,"Associate Professor, Università del Sannio di Benevento",unisannio.it,1557,Petrology | Archaeometry | Conservation | Ceramics,https://scholar.google.com/citations?hl=en&user=NmS-iFwAAAAJ
silvia liberata Ullo,"""Università degli studi del Sannio"" &  “CoNISMa"" & COIIM",unisannio.it,1448,Remote Sensing | Sensor Networks | Data and Image Processing | Artificial Intelligence and Deep Learning | Radar Systems and Cogniti,https://scholar.google.com/citations?hl=en&user=EA65dGYAAAAJ
Paola Revellino,Università degli Studi Del Sannio,unisannio.it,1350,Geologia Applicata,https://scholar.google.com/citations?hl=en&user=weyNM5wAAAAJ
Russo Filippo,"Professore di Geografia fisica e Geomorfologia, Università del Sannio",unisannio.it,1330,Geografia fisica | Geomorfologia | Geologia | Geoturismo | Quaternario.,https://scholar.google.com/citations?hl=en&user=zR_VTv0AAAAJ
roberta spadaccini,Universita' degli studi del Sannio,unisannio.it,1319,structural biology,https://scholar.google.com/citations?hl=en&user=z6M6LwsAAAAJ
Mariano Mercurio,Università degli studi del Sannio,unisannio.it,1312,Applied mineralogy,https://scholar.google.com/citations?hl=en&user=-Au35FwAAAAJ
Vincenzo Paolo Loschiavo,Researcher - Università degli Studi del Sannio,unisannio.it,1261,tokamaks | fusion engineering | FEM | energy harvesting,https://scholar.google.com/citations?hl=en&user=frSpXa-kFbYC
"Sabatino Ciarcia, Ph.D.",Università degli Studi del Sannio,unisannio.it,1194,Professore Associato - Regional Geology | Stratigraphy | Sedimentology | Geodynamics,https://scholar.google.com/citations?hl=en&user=1tdzibEAAAAJ
Salvatore Rampone,"Professore di sistemi di elaborazione delle informazioni, Università del Sannio",unisannio.it,1183,soft computing | bioinformatica | geoinformatica | cosmologia,https://scholar.google.com/citations?hl=en&user=SONRi2UAAAAJ
Paolo Ricci,"Professore Ordinario di Economia Aziendale, Università degli Studi del Sannio (Benevento)",unisannio.it,1106,Business Administration | Public Administration,https://scholar.google.com/citations?hl=en&user=2l75hMIAAAAJ
Antonio Pecchia,"Associate Professor, Università degli Studi del Sannio",unisannio.it,988,cyber resilience | network security | deep learning | empirical software engineering,https://scholar.google.com/citations?hl=en&user=11QO_iIAAAAJ
Filomena Ornella Amore,"Professore di paleontologia, Università del Sannio",unisannio.it,959,Paleoceanografia | paleoclimatologia | biostratigrafia,https://scholar.google.com/citations?hl=en&user=QhEbiqQAAAAJ
Carmen Del Vecchio,Università degli Studi del Sannio,unisannio.it,935,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Eyy-BtwAAAAJ
Giacomo di Tollo,"Università degli Studi del Sannio, Benevento (I)",unisannio.it,905,Computational Methods for Economic and …,https://scholar.google.com/citations?hl=en&user=SckkmZ8AAAAJ
Erasmo Mancusi,Università degli Studi del Sannio,unisannio.it,897,Ingegneria Chimica,https://scholar.google.com/citations?hl=en&user=oZef0yUAAAAJ
Arturo Capasso,Università degli Studi del Sannio; Università degli Studi di Napoli Federico II; ECGI,unisannio.it,796,Corporate Finance | Corporate Governance | Mergers and Acquisitions | Project Financing | Shipping Finance,https://scholar.google.com/citations?hl=en&user=z3enHJYAAAAJ
Piero Bareschino,Università degli Studi del Sannio,unisannio.it,791,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uYYEX6UAAAAJ
Massimo Moccia,Università degli Studi del Sannio,unisannio.it,730,Campi elettromagnetici,https://scholar.google.com/citations?hl=en&user=-aTJ_CIAAAAJ
Pia Addabbo,Università degli studi del Sannio,Not Mentioned,704,Telecommunication Engineering,https://scholar.google.com/citations?hl=en&user=eBi0x5AAAAAJ
Chiara Germinario,"Researcher, Università degli Studi del Sannio, Dipartimento di Scienze e Tecnologie",Not Mentioned,662,Archaeometry | pottery | pigments | mortars | spectroscopy,https://scholar.google.com/citations?hl=en&user=CN6W3vMAAAAJ
Guido Migliaccio,"Università del Sannio - Dipartimento di Diritto, Economia, Management e Metodi Quantitativi …",unisannio.it,603,Economia aziendale | Ragioneria generale ed applicata | Bilancio | Disability management | Crisi aziendali,https://scholar.google.com/citations?hl=en&user=lfYK92kAAAAJ
Francesco Tariello,"Ph.D. Student, Università degli Studi del Sannio",Not Mentioned,556,Solar Energy | Solar Cooling,https://scholar.google.com/citations?hl=en&user=_aX34YwAAAAJ
Manuela Tufo,Department of Engineering - Università degli Studi del Sannio,unisannio.it,509,Not Mentioned,https://scholar.google.com/citations?hl=en&user=T00VTQQAAAAJ
Roberto Serpieri,Università degli Studi del Sannio,unisannio.it,486,Meccanica del continuo | dei solidi e delle strutture,https://scholar.google.com/citations?hl=en&user=1x9dCf0AAAAJ
Michele Canelli,Università degli Studi del Sannio,unisannio.it,416,Energy,https://scholar.google.com/citations?hl=en&user=fruaPqYAAAAJ
Floriana Fusco,Università degli Studi del Sannio,unisannio.it,298,Public management | co-production in public services | CSR | accountability,https://scholar.google.com/citations?hl=en&user=tWG56fAAAAAJ
Augusto Penna,"Università di Napoli Federico II, Università del Sannio, CIMA AMRA, Areastudio Ingegneria",unina.it,281,ingegneria | terremoti | scienze della terra | geotecnica,https://scholar.google.com/citations?hl=en&user=Jx1WDpEAAAAJ
Marcello Stanco,Università degli Studi del Sannio,unisannio.it,264,Corporate Social Responsibility | Short Food Supply Chain | Innovation in agri-food supply chain | Consumer preferences,https://scholar.google.com/citations?hl=en&user=N9tc6AQAAAAJ
bruno massa,"Researcher, Università degli Studi del Sannio",unisannio.it,248,Geology | tectonics | structural geology | seismology | volcanology,https://scholar.google.com/citations?hl=en&user=_R-bXTQAAAAJ
tania caputo,UNIVERSITÀ DEGLI STUDI DEL SANNIO,cerict.it,158,DRUG DELIVERY | BIOSENSING | HYDROGELS,https://scholar.google.com/citations?hl=en&user=GYmqqOYAAAAJ
Pierpaolo Scarano,Università degli studi del Sannio,unisannio.it,157,sustainability | secondary raw material | waste | discard | circular economy,https://scholar.google.com/citations?hl=en&user=Mxq4jHYAAAAJ
Guido Maria Adinolfi,"post-Doc Universita degli Studi del Sannio, Benevento",unisannio.it,146,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Y83rjfoAAAAJ
Roberto Virzo,"Università degli Studi del Sannio, professore associato",unisannio.it,126,diritto internazionale,https://scholar.google.com/citations?hl=en&user=tacEmvYAAAAJ
Francesco AVITABILE,Dipartimento di Ingegneria Università del Sannio,unisa.it,118,superconduttività,https://scholar.google.com/citations?hl=en&user=i16CyEUAAAAJ
Valerio Apicella,Università degli Studi del Sannio,Not Mentioned,112,Energy Engineering | Magnetism | Magnetostrictive Materials | Magnetic Sensors,https://scholar.google.com/citations?hl=en&user=s1T5hL4AAAAJ
Francesco Vespasiano,"professore di sociologia, università del sannio",Not Mentioned,100,sociologia dell'innovazione | chiesa e religione | giovani | sviluppo | tecnologica,https://scholar.google.com/citations?hl=en&user=lc_7kvsAAAAJ
Fabrizio De Caro,Università degli Studi del Sannio,unisannio.it,68,Renewable Energies | Smart Grids | Artificial Intelligence | Resilience of Power Systems,https://scholar.google.com/citations?hl=en&user=V0dhtdAAAAAJ
MICHELE SISTO,Honorary Fellow at Università degli Studi del Sannio,posta.istruzione.it,63,Geomorphology | Geography | Geosites,https://scholar.google.com/citations?hl=en&user=P2QoJn8AAAAJ
Agostino Meo,Università degli Studi del Sannio,unisannio.it,29,Marine Geology | Geoarcheology | Stratigraphy | Sequential Stratigraphy | Geomorphology,https://scholar.google.com/citations?hl=en&user=60MbPDsAAAAJ
Laura  Zavatta,Ricercatore di Filosofia del diritto presso il Dipartimento DEMM - Università del Sannio,unisannio.it,19,filosofia del diritto | scienza giuridica | scienze sociali,https://scholar.google.com/citations?hl=en&user=BGFfhF8AAAAJ
Raffaele Memmolo,Università degli studi del Sannio,unisannio.it,15,automated planning | model checking,https://scholar.google.com/citations?hl=en&user=eKPJxicAAAAJ
Giovanna Pallotta,Università degli Studi del Sannio,unisannio.it,7,Renewable Energy,https://scholar.google.com/citations?hl=en&user=ewkr8-MAAAAJ
Salvatore Custureri,Università degli Studi del Sannio-Università Luiss Guido Carli,luiss.it,1,Diritto Internazionale,https://scholar.google.com/citations?hl=en&user=xRt_0AcAAAAJ
Pietro  Di Stasio,Università degli Studi del Sannio,studenti.unisannio.it,Not Mentioned,Not Mentioned,https://scholar.google.com/citations?hl=en&user=skUEcTcAAAAJ
